FID,OBJECTID,DISTANCE,Speed_mi_h,Exclude__1,Exclude__2,SWATHWIDTH,VRYIELDBAL,SECTIONID,Crop,Time,Heading,VARIETY,Elevation,IsoTime,ORIG_FID,POINT_X,POINT_Y,lb_ac,kb_ha
0,1,4.293,2.926,0,0,17.99868767,0.18596564,0,175,12/2/2019 22:00,170.7577972,dp 1646 b2xf,185.5404671,2019-12-02T22:00:16.000Z,0,-84.7647977,31.19234453,89.2634964,100.064003
1,4,7.705,5.252,0,0,17.99868767,2.57153506,0,175,12/2/2019 22:00,163.4877972,dp 1646 b2xf,185.809496,2019-12-02T22:00:20.992Z,3,-84.76477471,31.19226399,1234.339966,1383.689941
2,5,7.639,5.207,0,0,17.99868767,3.69548458,0,175,12/2/2019 22:00,162.7377972,dp 1646 b2xf,185.829181,2019-12-02T22:00:21.995Z,4,-84.76476758,31.19224392,1773.829956,1988.469971
3,6,7.672,5.23,0,0,17.99868767,4.10868373,0,175,12/2/2019 22:00,162.3677972,dp 1646 b2xf,185.9243254,2019-12-02T22:00:22.998Z,5,-84.76476024,31.1922238,1972.170044,2210.800049
4,7,7.672,5.23,0,0,17.99868767,3.56832367,0,175,12/2/2019 22:00,163.4777972,dp 1646 b2xf,186.012908,2019-12-02T22:00:23.992Z,6,-84.76475337,31.19220355,1712.800049,1920.040039
5,8,7.705,5.252,0,0,17.99868767,3.36953498,0,175,12/2/2019 22:00,163.1477972,dp 1646 b2xf,186.1178949,2019-12-02T22:00:24.997Z,7,-84.76474615,31.19218331,1617.380005,1813.079956
6,9,7.738,5.275,0,0,17.99868767,3.32930391,0,175,12/2/2019 22:00,163.2877972,dp 1646 b2xf,186.1474225,2019-12-02T22:00:26.006Z,8,-84.76473901,31.19216294,1598.069946,1791.430054
7,10,7.771,5.297,0,0,17.99868767,3.07672724,0,175,12/2/2019 22:00,162.6677972,dp 1646 b2xf,186.1211758,2019-12-02T22:00:27.002Z,9,-84.76473167,31.19214258,1476.829956,1655.530029
8,11,7.738,5.275,0,0,17.99868767,3.44032093,0,175,12/2/2019 22:00,162.1577972,dp 1646 b2xf,186.1146141,2019-12-02T22:00:27.995Z,10,-84.76472404,31.19212232,1651.349976,1851.170044
9,12,7.771,5.297,0,0,17.99868767,3.22933195,0,175,12/2/2019 22:00,162.7577972,dp 1646 b2xf,186.1211758,2019-12-02T22:00:28.990Z,11,-84.76471663,31.19210192,1550.079956,1737.640015
10,13,7.803,5.319,0,0,17.99868767,4.24120649,0,175,12/2/2019 22:00,162.8477972,dp 1646 b2xf,185.9800997,2019-12-02T22:00:29.993Z,12,-84.76470916,31.19208148,2035.780029,2282.110107
11,14,7.836,5.342,0,0,17.99868767,2.85912463,0,175,12/2/2019 22:00,163.6277972,dp 1646 b2xf,185.993223,2019-12-02T22:00:30.996Z,13,-84.76470204,31.19206086,1372.380005,1538.439941
12,15,7.771,5.297,0,0,17.99868767,2.90549755,0,175,12/2/2019 22:00,163.4177972,dp 1646 b2xf,185.8193385,2019-12-02T22:00:31.998Z,14,-84.76469491,31.19204035,1394.640015,1563.390015
